term,definition
hermaphroditismus,hímnősség
hermaphroditismus,kétneműség
hernia,sérv
hernia adiposa,zsírsérv
hernia cerebri,agysérv
hernia diaphragmatica,rekeszizomsérv
hernia disci,porckorong kidülledés
hernia disci incarcerata,porckorongsérv kizáródás vagy becsípődés
hernia femoralis,combsérv
hernia hepatitis,májsérv
hernia inguinalis,lágyéksérv
hernia umbilicalis,köldöksérv
hernia ventralis,Hasfali sérv
hernia ventriculi,gyomorsérv
herniatio,sérvképződés
herpes genitalis,nemi herpesz
herpes gestationis,terhességi herpes
herpes labialis,ajaksömör
herpes simplex,"egyszerű sömör, herpesz"
herpes zoster,övsömör
Heter-,"Eltérő, más"
hetero-,eltérő
hiatus,hasadék
hidradenitis,verejtékmirigy gyulladása
hidrosis,izzadás
hilum,erek belépési és kilépési helye
Hilus,Kapu
hilus lienis,lépkapu
hilus pulmonis,tüdőkapu
Hilus renalis,vesekapu
hiperglikémia,a vércukor normálisnál magasabb szintje
hipoglikémia,a vércukor normálisnál alacsonyabb szintje
hipoxia,a szövetek nem megfelelő oxigénellátása
hirci,hónaljszőr
hircismus,hónaljszag
hirsuta,szőrös
hirsutus,hajas
hirudo,nadály
hirundo,fecske
Hist-,Szövet
histo,szövet
histogenesis,szövetfejlődés
histolysis,szövetbomlás
histopathologia,kórszövettan
histotomia,szövetmetszet készítése
homeo-,azonos
homeostasis,egyensúly
homeostasis,"homeosztázis, belső környezet állandósága"
homologia,hasonlóság
Horizontalis,Vízszintes
"hormon, hCG",humán chorion-gonadotropin
"hormonum antidureticum, ADH, vasopressinum",antiduretikus hormon
hospitalisatio,hoszpitalizálás
Humanus,emberi
Humerus,"felkarcsont, felkar"
humiditas,páratartalom
humidus,nedves
humor aquaeus,vizes folyadék
humor aqueus,csarnokvíz
humoralis,testnedvvel kapcsolatos
hyalinum,üvegszerű
Hydr-,Víz
hydrophobia,víziszony
hydrops,folyadékgyülem
hydropyonephrosis,gennyes zsákvese
hydrosalpinx,folyadékkal telt petevezeték
hygienia sexualis,nemi egészségügy
hymen,szűzhártya
hyoscyamus,beléndek (egy mérgező növény)
Hyp-,Alatt
hypaesthesia,"csökkent érzékenység, érzéscsökkenés"
hyper,döntő
Hyper-,Felett
hyperacusis,rendkívül érzékeny hallás
hyperaemia,vérbőség
hypercholesterinaemia,magas vérkoleszterinszint
hyperemesis,nagymértékű hányás
hyperemesis gravidarum,nagymértékű hányás a terhességben
hypergranulatio,túlsarjasodás
hyperkalaemia,magas vérkáliumszint
hyperkapnia,hiperkapnia (vér széndioxid szintjének emelkedése)
hyperkeratosis,egyfajta bőrrendellenesség
hyperkinesis,fokozott mozgás
hypermetropia,távollátás
hyperostosis,a csont túlnövése
hyperplasía,kóros burjánzás
hyperprolactinaemia,magas vérprolactinszint
hypersalivatio,nyálmirigyek fokozott működése
hypertelorismus,kórosan nagy távolság valamely páros szerv két tagja között
hypertensio,magas vérnyomás
hyperthyreosis,a pajzsmirigy fokozott működése
hyperthyroidismus,hipertireózis
hyperthyroidismus,pajzsmirigy túlműködés
hypertonia,magas vérnyomás
hypertonia maligna,vészes magas vérnyomás
hypertonicus,Magas vérnyomásos
hypertrichosis,túlzott szőrösség
hypertrophia,túltengés
hypo-,alatt
hypogastrium,alhas
hypoglossus,nyelv alatti
hypoglycaemia,alacsony vércukorszint
hypogonadismus femininus,női hipogonadizmus
hypokalaemia,hipokalémia
hyponatraemia,hyponatrémia
hypopharynx,algarat
hypophysis,agyfüggelék
hypophysis,agyalapi mirigy
hypothalamus,közti agy
hypothenar,kisujjpárna
hypothermia,"kihűlés, lehűlés"
hypothesis,sejtés
hypothyreosis,Pajzsmirigy-alulműködés
hypothyroidismus,csökkent pajzsmirigy-működés
hypotonia,alacsony vérnyomás
hypoventilatio,hipoventiláció
hysterectomia,méh műtéti eltávolítása
hysterectomia abdominalis,méheltávolítás hasmetszéssel
hystericus,hisztériás
hystero-,méh-
hysterokele,méhsérv
hysteroscopia,méh tükrözése
hysteroscopia,méhüreg tükrözés
hysterospasmus,méhgörcs
hysterotomia,méh műtéti metszése
iasis,Betegség
iatrogen,orvosi eredetű
ichor,sebváladék
icterus,sárgaság
icterus neonatorum,sárgaság okozta agykárosodás
ileitis,vékonybélgyulladás
ileitis terminalis,Crohn betegség
ileocecalis,csípőbéllel és vakbéllel kapcsolatos
ileum,csípőbél
ileus,bélcsavarodás
ília,lágyékok
Ilia ium,Csípő
ilium,csípő
im-/in-,en-
íma; ímus,legmélyebb
imago,ábrázolás
immaturus,éretlen
immobilis,mozdulatlan
immunisatio,immunizáció
immunisatio,védőoltás
immunitas,immunitás
immunitas,védettség
immunszupresszió,az immunredszer aktivitásának gyógyszeres csökkentése (pl. szervátültetések után)
IMP,"implantatum, beültetés"
Impactio dentis,Fogbeékelődés
impedimentum haemato-aericum,vér-levegő gát
impedimentum haemato-aquaticum,vér-nedv gát
impedimentum haemato-aquosa,vér-nedv gát
impedimentum haemato-cerebrale,agy-vér gát
impedimentum haemato-nervosum,vér-ideg gát
imperfectus,tökéletlen
impl.valv.aortae arteff.,mű aorta billentyű beültetés
implantatio,beágyazódás
implantatum,implantatum
implantatum cochleare,cochlea-implantátum
impotentia,képtelenség
impressio,benyomat
imterstitialis,sejtközötti
imus,legalacsonyabb
in situ,eredeti helyzetben
in soliudum,egyetemlegesen
in vivo,az élő szervezetben
inactiva,inaktív
inactivitas,tétlenség
incarceratio,becsípődés
incestus,vérfertőzés
incineratio,égetése
incineratio,elhamvasztás
incipiens,kezdődő
Incisialis,Metszőfogak éle felé tekintő irány
incisio,bemetszés
incisiv,metsző
incisívus,metszőfog
incisura,bemetszés
incisura trochlearis,ízületi bevágás
inclinatio,dőlés
incompletus,befejezetlen
incontinentia,"inkontinencia, vizelettartási nehézség"
incretorius,belső elválasztású
incubatio,lappangási időszak
incubus,lidércnyomás
incus,üllő
índex,mutatóujj
indifferens,közömbös
indigestio,emésztési zavar
indisputabilis,nem vitatott
individuum,egyén
indolens,fájdalmatlan
induratio,keményedés
induratio penis plastica,Peyronie-kór
induratus,megduzzadt
infans,gyermek
infantilis,gyermekes
infarctus,infarktus
infarctus lacunaris,lacunaris infarctus
infarctus myocardii,szívinfarktus
infarctus trunci cerebri,agytörzs infarktus
infectio,fertőzés
infectio auris mediae,középfül-fertőződés
infectio Cestodae,galandféreg-fertőzés
infectio cum viro cytomegalo,cytomegalovirus-fertőzés
infectiosus,ragályos
inferior,"alábbvaló, alsó"
infertilis,meddő
infiltratio,átszivárgás
infiltratus,beszűrődött
inflammatio,gyulladás
inflatus,felfúvódott
inflectio,behajlítás
inflexio,áthajlás
influentia abducens,abducens-befolyás
"infra-, sub-","alatt, alatti"
infraclavicularis,kulcscsont alatti
infractio,szabálysértés
infraorbitalis,szemüreg alatti
infraspinatus,lapockatövis alatti
infrictio,bedörzsölés
infundibulum,petevezeték tölcsére
infusum laxativum,hashajtó forrázat
infusum rhei cum natrio carbonico,rheum-öntelék szénsavas szikenynyel
ingestio,táplálékfelvétel
inguen,ágyék
inhaerens,velejáró
inhalasolum,belégzésre való oldat
inhalatio,belélegzés
iniectio,"injekció, befecskendezés"
innervatio,beidegzés
innocens,jóindulatú
innominatus,névtelen
innoxius,ártalmatlan
inoblast,kötőszöveti sejt
inoculatio,beoltás
inoperabilis,nem operálható
inquisitio,vizsgálat
insitu,méhen belüli eszközök
insaccatio,betokolódás
insanabilis,gyógyíthatatlan
insania,eszelősség
insectum,rovar
insertio intrauterina,méhen belüli eszközök
insipidus,íztelen
"insolatio, heliotherapia",napozás
instillatio,becseppentés
instillatio ophthalmica,szemcseppek
instrumentum,eszköz
insufficientia,elégtelenség
insufficientia bicuspidalis,kéthegyű billentyű elégtelenség
insufficientia cordis,szívelégtelenség
insufficientia corticis glandulae suprarenalis,mellékvesekéreg-elégtelenség
insufficientia renalis,vese elégtelenség
insufficientia valvae cordis,szívbillentyű elégtelenség
insufficientia valvulae mitralis,mitrálisbillentyű-elégtelenség
insufficientia valvularis,billentyűelégtelenség
insufflatio,befúvás
insula,sziget
insulae Langerhansi,Langerhans szigetek
int oph,szemcseppek
int oto,fülcseppek
integer,sértetlen
integumentum,kültakaró
inter,között
intercellularis,sejtközötti
intercostalis,bordaközi
interdentium,fogköz
interior,belül levő
interlobaris,lebenyek közti
interlobularis,kis lebenyek közti
intermedius,intermedier
intermittens,időnkénti
intermuscularis,izomközti
internus,Belső
interossealis,interosszeális
interosseus,csontok közötti
interpolaris,pólusok közötti
interruptio,félbeszakítás
interstitialis,szövet közötti
interstítium,hely
intertrigo,kipállás
interuretericus,húgyvezeték-közti
interventricularis,kamrák-közötti
intervertebralis,csigolyák közötti
intervillosus,bütykök közötti
Intestin-,Bél
intestina,belek
intestinalis,belekkel kapcsolatos
Intestinum,bél
intestinum crassum,vastagbél
intestinum ileum,csípőbél
intestinum jejunum,éhbél
intestinum tenue,vékonybél
intestinumjejunum,jejunum
intimus,legbelső
intoxicatio medicamentorum,gyógyszermérgezés
intra,belül
intracellularis,sejten belüli
intracutaneus,bőrön belüli
intracutaneus,intrakután
intraductalis,kivezetőcsőben található
intraepithelialis,epitheliumban elhelyezkedő
intraglutealis,farba
intralobaris,lebenyen belüli
intralobularis,kis lebenyen belüli
intramuralis,falban található
intramuscularis,izomban történő
Intraoralis,Szájon belül
intrathecalis,gerincűrön belüli
intrauterin,méhen belüli
intravasalis,erekben található
"intravenosus, i. v.",intravénás
introitus,bejárat
introitus vaginae,hüvelynyílás
intumescentia,duzzanat
intumescentia cervicalis,gerincvelő nyaki szakasza
intumescentia lumbalis,gerincvelő lumbalis szakasza
intumescentia lumbosacralis,gerincvelő ágyéki és keresztcsonti duzzanata
intussusceptio,bélbetüremkedés
inuctio,bekenés
invasio,terjedés
invers,fordított
inversio,befelé fordulás
inversio uteri,méhbefordulás
inversus,befordult
involutio,visszafejlődés
inzulin,"a hasnyálmirigy hormonja, mely a vércukorszintet csökkenti azáltal, hogy a cukor sejtekbe való bejutását segíti elő"
io,"-ás, -és"
iodum,jód
ipecacuanha,hánytató gyökér
Ipratropii bromidum,ipratropium-bromid
irremediabilis,nem gyógyítható
irrigatio,beöntés
ischaemia,vértelenség
ischaemia cerebri,agyszövet elégtelen ellátása
ischiadicus,far-
ischiádicus,ülőcsonttal kapcsolatos
Ischion,Ülő(csont)
ischium,fenék
Iso-,"Azonos, hasonló"
isodens,közepes sűrüségű
Isolalas,Elkülönítés
isolatio,elidegenedés
isthmus,"szűkület, keskeny mirigyrész"
isthmus faucium,torokszoros
iszkémia,érszűkület miatt egy adott szerv nem megfelelő vérellátása
itis,Gyulladás
jejunum,éhbél
jugularis,torkolati
jugulum,nyak
Jugulum (iugulum),torok
jugum,járom
Junct-,Kapocs
junctio,érintkezés
junctura,összekapcsolódási pont
junctura dentoalveolaris,csontbeékelődés
juniperus,boróka
juvans,segítő
juvenilis,fiatal
juxta,mellett
juxta-,szomszédos
juxta- (iuxta-),para-
juxtaarticularis,ízület melletti
juxtaauricularis,fülkagyló melletti
juxtamuralis,fal mellett elhelyezkedő
juxtapositio,egymás melletti elhelyezkedés
juxtapyloricus,gyomorkapu melletti
kainophobia,"félelem mindentől, ami új"
Kalii acetas,kálium-acetát
Kalii permanganas,kálium-permanganát
kalium aceticum solutum,ecetsavas kalium-oldat
Kalium bromatum,káliumbromid
kalium carbonicum crudum,nyers szénsavas kalium
kalium carbonicum depuratum,tisztított szénsavas kalium
kalium carbonicum solutum,feloldott szénsavas kalium
kalium chloricum,chlorsavas kalium
kalium hydro-oxydatum,kaliumhydrat
kalium hydro-tartaricum,savanyú borkősavas kalium
kalium hypermanganicum,felmangansavas kalium
kalium iodatum,iodkalium
kalium natrio-tartaricum,borkősavas kalium-natrium
kalium nitricum,légenysavas kalium
kalium stibio-tartaricum,borkősavas antimon-kalium
kalium sulfuratum,kénkalium
kalium sulfuratum pro balneo,kénkalium fürdőkhöz
kalium sulfuricum,kénsavas kalium
kalium tartaricum,közönyös borkősavas kalium
kamala,rottlera tinctoria roxb
kamra,"a szív négy üregéből azon kettő, amelyek a vért kipumpálják a szívből"
kamrafibrilláció,"a kamrákat alkotó szívizomsejtek kontrollálatlan összehúzódása, amely véráramlást már nem eredményez"
kapilláris,hajszálér
kardiológia,szív és érrendszerrel foglalkozó tudományág
kardiológus,szakorvos akinek a szakterülete a szív és érrendszeri megbetegedések
kardiomiopátia,"szívizombetegség, melynek során a szív izomereje egyre gyengül"
kardiovaszkuláris,szív- érrendszeri
kary-,sejtmagra vonatkozó
karyon,sejtmag
Kawasaki betegség,"immunológiai megbetegedés, néha súlyos, szívet érintő szövődményekkel"
Kerat-,Szaru
keratalgia,szaruhártya-fájdalom
keratitis,szaruhártya-gyulladás
kerato-,hám-
keratoconjunctivitis phlyctaenosa,ekcémaszerű kötőhártyagyulladás
keratoid,szaruszerű
keratomalacia,szaruhártya-lágyulás
keratosis,szarusodás
keratosis lichenoides chronica,Nekam betegség
ketogen,ketontestet képző
ketonuria,ketonuria
kinesis,mozgás
kinetikus,mozgási
kino,kinomézga
klimax,változás kora
koilonychia,kanálszerű köröm
kreosotum,kreosot
kryotherapia,gyógyítás fagyasztással
kryptorchismus,rejtettheréjűség
kusso,brayera virágai
kyphosis,"hátradomborodó hajlat, púp"
l. s.,bal oldal
l.d.,jobb oldal
Labi-,Ajak
labia,"ajkak, szeméremajkak"
labia majora,nagyajkak
labia minora,kisajkak
labialis,ajakhoz tartozó
labilis,nem stabil
Labium,Ajak
labium majus pudendi,nagy szeméremajkak
labium minus pudendi,kis szeméremajkak
labium oris,ajak
labium pudendi,szeméremajak
labium superior,felső ajak
labores parturientium,szülőfájások
labyrinthitis,belsőfül-gyulladás
labyrínthus,útvesztő
labyrinthus membranaceus,hártyás labirintus
labyrinthus osseus,csontos labirintus
lac mulierum,anyatej
lac neonatorum,boszorkánytej
laceratio,szakadás
laceratus,beszakadt
lacertus,rostos
lacerum,zúzott seb
lacinia,rongy
lacrima,könny
lactacidaemia,tejsavacidózis
lactans,szoptató
"lactat-dehydrogenasum, LDH",laktát-dehidrogenáz enzim
lactatio,szoptatás
lactifer,lactifer
lactiferus,tejvezető
lactis,tej
lacto-,tej-
lactucarium,salátanedv
lacuna,gödör
lacunae urethrales,vak járatok
lacunaris,gödrös
laesio,"sérülés, seb"
laesio cerebri non-progressiva,nem-progresszív agy lézió
laesio cerebri progressiva,rosszabbodó agykárosodás
laesio cerebri progressiva cum effusionem subduralis,progresszív agykárosodás szubdurális bevérzéssel
laesio cerebri progressiva cum neurodysphagiam,rosszabbodó agykárosodás idegi alapú nyelési nehézséggel
laesio cutanea,bőrrendellenesség
laesio lacunaris,lacunaris laesio
laesio renalis,vese betegség
laesio ungulae,körömsérülés
laesus,sérült
Laev-,Bal
laevigatio,szétmorzsolni
laevocardia,baloldali szív
lallatio,dadogás
lambdoideus,"Lambda-, lambda alakú"
Lamblia intestinalis,Giardia lamblia
lamella,"vékony lemez, lemezke"
lamina basalis,"alaplemez, basalis membrán"
lamina cribrosa,szitalemez
lamina granularis externa,külső szemcsés réteg
lamina granularis interna,belső szemcsés réteg
lamina molecularis,molekuláris réteg
lamina mucosa gastrica,gyomor nyálkahártya
lamina pyramidalis interna,nagy piramissejtek rétege
lamina quadrigemina,ikertestek telepe
lamina serosa,savós lemez
lamina serosa parietalis,lamina serosa parietalis
lamina serosa visceralis,zsigereket borító zsigeri lemez
lamina terminalis,határlemez
lamina visceralis,zsigeri lemez
laminodesis,csigolyaívek összekötése
lana gossypii,gyapotvatta
lanatus,gyapjas
lancinatus,szaggató
lanugo,"finom szőrzet, mely a magzatot röviddel megszületés előtt és utána néhány napig borítja"
laparokele,hasfalsérv
laparoscopia,"a hasüregben, a hasfalon keresztül szúrt endoszkóppal végzett műtét"
laparotomia,hasmetszés
laparotomia,a hasüreg megnyitásával végzett műtét
lapis haematites,vérkő
lappangási idő,fertőző betegségek esetében: a megfertőződéstől a tünetek megjelenéséig terjedő időszak
lapsus,botlás
lapsus linguae,nyelvbotlás
larix,vörösfenyő
larvacid,lárvát pusztító
Laryng-,Gége
laryngalgia,gégefájdalom
laryngectomia,gégekiirtás
laryngeus,gégével kapcsolatos
laryngismus,gégeizomgörcs
laryngitis,gégegyulladás
laryngitis crouposa,álhártyás gégegyulladás
laryngitis necrotisans,elhalásos gégegyulladás
laryngitis subglottica,krupp
laryngitis suppurativa,gennyes gégegyulladás
laryngodynia,gégefájdalom
laryngokele,gégesérv
laryngologia,gégészet
laryngoparalysis,gégeizom-bénulás
laryngopathia,gégebántalom
laryngopharyngitis,gége- és garatgyulladás
laryngopharynx,algarat
laryngophthisis,gégegümőkór
laryngoplastica,gége plasztikai műtéte
laryngoplegia,gégeizom-bénulás
laryngorrhagia,gégevérzés
laryngorrhaphia,gégevarrat
laryngoscopia,gégetükrözés
laryngospasmus,laringospazmus
laryngostenosis,gégeszűkület
laryngotomia,gégemetszés
laryngotracheitis,gége- és légcsőgyulladás
laryngotracheoscopia,gége- és légcsőtükrözés
larynx,gége
lassitudo,gyengeség
lassitudo,kimerülés
latebra,rejtekhely
latens,lappangó
Later-,Oldal
Lateralis,"oldalsó, a középvonaltó távol eső (medialissal ellentétes irány)"
Lateralis dextri,Jobb oldali
Lateralis sinistri,Bal oldali
lateris dextri,jobb oldal
lateris sinistri,bal oldali
lateris utriusque,mindkét oldal
laterobasalis,oldallal és alappal kapcsolatos
laterodorsalis,oldalsó és hátulsó
lateroflexio,oldal hajlás
latíssimus,legszélesebb
latitudo,"szélesség, tágasság"
latus,oldal. Széles
laurocerasus,borostyánmegy
laurus,babér
lavage,kiöblítés
lavatio,öblítés
laxativus,hashajtó
laxus,petyhüdt
LDH,laktátdehidrogenáz (egyfajta tejsav)
lege artis,szabály szerint
legumen,hüvely
lei(o)-,sima-
leiodermia,simabőrűség
lema,csipa
lemniscus,szenzorikus idegköteg
leniens,enyhítő
lens,szemlencse
lentitis,szemlencsegyulladás
lentus,"lassú, meghosszabbodott"
lepra,lepra
lepto-,keskeny-
leptomeningitis,lágy-agyhártyagyulladás
lesio iatrogenica,orvosok által okozott laesio
letalitas,halandóság
leucocytopenia,alacsony fehérvérsejtszám
leucocytosis,magas fehérvérsejtszám
leucoderma,fehér bőr
leucodystrophia,leukodisztrófia
leucopoesis,fehérvérsejtek fejlődése
leukaemia,fehérvérűség
leukocyta,fehérvérsejt
leukocyti mononucleares,egymagú fehérvérsejtek
leukocytosis,fehérvérsejtek számának megnövekedése a vérben
Levatio,Emelés
Levator,Emelő
levis,sima
levo,bal
levocardia,balszívűség
lex,törvény
lézió,"sérülés, seb"
libido,nemi vágy
lien,lép
lien accessorius,melléklép
ligamenta,szalagok
ligamenta articularia,izületi szalagok
ligamenta vocalia,hangszalagok
ligamentosus,inas
ligaméntum,tartószalag
ligamentum carpi dorsale et transversum,hátsó és haránt kéztőszalag
ligamentum collaterale laterale,lateralis oldalszalag
ligamentum collaterale mediale,medialis oldalszalag
ligamentum conicum,gyűrűporc ív
ligamentum cruciatum anterius,elülső keresztszalag
ligamentum cruciatum anterius et posterius,keresztszalagok
ligamentum cruciatum posterius,hátulsó keresztszalag
ligamentum inguinale,lágyékszalag
ligamentum latum uteri,széles méhszalag
ligamentum longitudinale posterius,hátsó hosszú szalag
ligamentum sacrouterinum,keresztcsont-szalagok
ligamentum teres uteri,kerek méhszalag
ligamentum vocale,hangszalag
ligatura,lekötés
limen,átnyúló
linea,vonal
linea alba,fehér vonal
linea anorectalis,végbél és végbélnyílás kapcsolat
Lingu-,Nyelv
lingua,nyelv
Lingua scrotalis,Barázdált nyelv
lingua villosa negra,szőrös nyelv
Lingualis,"Alsó, belső felszín (nyelv felöli)"
lingula,nyelvecske
linia cellularis,sejtvonal
linimentum,kenet
linimentum ammoniatum,illó kenőcs
linimentum saponato-camphoratum,kámforos szappankenőcs
linitis,gyomorfalgyulladás
linum,len
Lip-,Zsír
lipaemia,lipémia
lipid,a vérben lévő zsíros anyagok összefoglaló neve
lipida,zsírok
lipo-,zsír-
Lipoarthritis traumatica genu,Hoffa betegség
lipogen,zsírképző
lipogenesis,zsírképzés
lipolysis,zsírbontás
lipoma,zsírdaganat
lipoma axillaris,hónalj zsírdaganat
lipomatosis,lipomatózis
lipomatosis dolorosa,fájdalmas zsírlerakódás
lipometabolismus,zsíranyagcsere
lipopexia,zsírlerakódás szövetekben
lipophil,lipophil
lipoproteinek,a vérben lévő zsíros anyagok szállítói
lipotrop,zsírbontó
"lipreading, lip-reading",szájról olvasás
lipuria,zsírvizelés
liquefactio,elfolyósodás
liquiritia,édesgyökér
liquor,"gerincnedv, testnedv"
liquor acidus halleri,haller savanyú folyadéka
liquor amnii,magzatvíz
liquor cerebrospinalis,agyi-gerincvelői folyadék
liquor cerebrospinalis,agyvíz
liquor cystis,cizsta folyadék
liquor extracellularis,sejten kívüli folyadék
liquor folliculli,tüszőfolyadék
liquor intracellularis,folyadék a sejt belsejében
liquor synovialis,ízületi folyadék
liquores corporis,testnedvek
lissencephalia,agykéregtekervények hiánya
listhesis,csigolyaelcsúszás
litho-,kő-
lobi optici,látólebenyek
lobitis,lebenygyulladás
lobuli testis,herelebenykék
lobulus,kis lebeny
Lobus,Lebeny
lobus cerebri,agylebeny
lobus dexter,jobb lebeny
lobus dexter hepatis,máj jobb lebenye
lobus frontalis,homloklebeny
lobus insularis,insularis lebeny
lobus occipitalis,nyakszirti lebeny
lobus olfactorius,szaglólebeny
lobus parietalis,fali lebeny
lobus sinister,bal lebeny
lobus sinister hepatis,máj bal lebenye
lobus temporalis,halántéklebeny
Loc-,Hely
loca authentica,hiteles helyek
localis,helyi
localisatio,lokalizálás
locomotio,térbeli mozgás
locomotorius,Mozgáshoz tartozó
loculatum,rekeszes
loculus,rekesz
locus,hely
logorrhoea,bőbeszédűség
longíssimus,leghosszabb
Lox-,Ferde
Loxosceles reclusa,barna hegedupók
lucidus,világos
lues,szifilisz
lues congenita,Veleszületett szifilisz
lumbago,derékzsába
lumbal-,ágyék-
lumbalis,ágyéki
lumbalisatio,lumbarizáció
lumboischialgia,ágyék és csípőfájdalom
lumbosacralis,lumboszakrális
lumbricalis,féregszerű
lumbus,ágyék
lumen,az ér belseje
luteus,sárga
luxatio articulationis genus,térdízületficam
luxatio colli,nyakficam
luxatio coxae,csípőficam
luxatio genus,térdficam
luxatio lentis,szemlencseficam
luxatio tendinis,ínficam
Lymph-,Folyadék
lympha,nyirok
lymphadenitis,nyirokcsomó gyulladás
lymphadenitis coli,nyak nyirokcsomó gyulladás
lymphadenitis l.d.,jobb oldali nyirokcsomó gyulladás
lymphadenitis l.s.,bal oldali nyirokcsomó gyulladás
lymphadenomegalia,nyirokcsomó megnagyobbodás
lymphadenomegalia colli,nyaki nyirokcsomó megnagyobbodása
lymphadenopathia,nyirokcsomó-betegség
lymphangitis,nyirokérgyulladás
Lymphaticus,Nyirok
lympho-,nyirok-
lymphocyta,nyiroksejt
lymphocyti,"lymphocyták , nyiroksejtek"
lymphocyti B,B-fehérvérsejtek
lymphocytus,"limfocita, nyiroksejt"
lymphoedema,nyirokpangás által keletkezett dagadás
lymphoglandula,nyirokcsomó
lymphorrhoea,nyirokfolyás
lymphosarkoma,"Lymphosarcoma, nyirokrák"
lymphovascularis,nyirokeres
lyra,izolálóállvány
lysis,"Oldódás, oldás"
lyssa,veszettség
lyticus,sejteket tönkretevő
m. abductor digiti minimi,kisujjtávolító izom
m. abductor digiti quinti,kisujjtávolító izom
m. abductor hallucis,nagyujjtávolító izom
m. abductor pollicis brevis,rövid hüvelykujj-távolító izom
m. abductor pollicis longus,hosszú hüvelykujjtávolító izom
m. adductor brevis,rövid combközelítő izom
m. adductor hallucis,nagyujjtávolító izom
m. adductor longus,hosszú combközelítő izom
m. adductor magnus,nagy combközelítő izom
m. adductor pollicis,hüvelykujj-közelítő izom
m. anconeus,könyök-
m. brachioradialis,kar orsócsonti izom
m. brachioradialis,karhajlító izom
m. extensor digitorum,ujjakat feszítő izom
m. extensor digitorum longus,hosszú lábujjakatfeszítő izom
m. extensor hallucis longus,hosszú öregujfeszítő izom
m. fibularis brevis,rövid szárkapocsizom
m. flexor digitorum profundus,mély ujjakat hajlító izom
m. flexor hallucis longus,hosszú lábujjakat-hajlító izom
m. gastrocnemius,kétfejű lábikraizom
m. gluteus maximus,nagy farizom
m. gracilis,karcsúizom
m. iliacus,csípőizom
m. iliocostalis,csípőbordaizom
m. pectineus,fésűsizom
m. pectoralis,mellizom
m. peroneus brevis,rövid szárkapcsi izom
m. peroneus longus,hosszú szárkapcsi izom
m. piriformis,körteképű izom
m. quadratus femoris,négyszögű combizom
m. quadratus lumborum,négyszögű ágyékizom
m. quadriceps femoris,négyfejű combizom
m. sartorius,szabóizom
m. scalenus anterior,elülső ferde nyakizom
m. scalenus medius,középső ferde nyakizom
m. semitendinosus,féliginasizom
m. soleus,gázló izom
m. tensor fasciae latae,combpólyafeszítő izom
m. tibialis anterior,elülső sípcsonti izom
m. transversospinalis,haránt tövisnyulványi izom
m. triceps surae,háromfejű lábikraizom
"Macr-, mega-, megal-",Nagy
macro,magasfokú
macrocephalia,Nagyfejűség (macrocephalia)
macroglossia,Nagynyelvűség (macroglossia)
macroglossia,nyelvmegnagyobbodás
macrophagi,immunsejtek
macrosomia,nagytestűség
macrostomia,nagyszájúság
macrotia,nagy fülek
macula,a bőr nem kiemelkedő foltszerű elváltozása
macula corneae,szaruhártyafolt
macula lutea,sárga folt
magalomania,"túlzó téveszme, lelki zavarodottság, nagyzási hóbort"
magis,"több, tovább"
Magnesii peroxidum,magnézium-peroxid
magnesium carbonicum hydro-oxydatum,szénsavas magnesium-hydroxyd
magnesium hydro-oxydatum,magnesium-hydroxyd
magnesium oxydatum,magnesiumoxyd
"Magnesium oxydatum, Magnesii oxidum",magnézium-oxid
magnesium sulfuricum,kénsavas magnesium
magnocellularis,nagysejtes
maioris gradus,magas fokú
major,magasfokú
"Major, majus",nagyobb
makrodontia,Fog - nagyobb az átlagosnál
makroglosszia,a nyelv a szokásosnál nagyobb méretű
mala,arc
malabszorpció,felszívódási zavar
malacia,Lágyulás
male,rosszul
malf. renis,vese malformáció
malformatio,deformáltság
malformatio renis,vese malformáció
malignus,rosszindulatú (pl. daganat)
malleoláris,bokával kapcsolatos
malleolus,boka
malleolus lateralis,külső boka
malleolus medialis,belső boka
malleus,hallócsontocska (kalapács)
malnutritio,"alultápláltság, hiányos táplálkozás"
malnutritio,hiányos táplálkozás
malpositio,rendellenes elhelyezkedés
malum,betegség
malva,papsajt
mamilla,emlőbimbó
mamilla,bimbó
mamillae,mellbimbók
mamillaris,emlőbimbószerű
mamma,emlő
mamma masculina,férfiemlő
mammae,emlővel kapcsolatos
mammalis,emlőhöz tartozó
mancinismus,balkezesség
mandibula,állkapocs
manducatio,rágás
mane,reggel
manganum hyperoxydatum nativum,természetes manganfeléleg
manifestus,megmutatkozó
manna,manna
mannitum,mannacukor
manubrium,markolat
manubrium sterni,szegycsont markolata
manus,kéz
marginalis,szélen levő
Margo lateralis,oldalsó él/határ
Margo medialis,középső él/határ
marsupium,herezacskó
maschaloncus,hónaljdaganat
masculinus,férfi
massa,tömeg
Masseter,Rágó (izom)
mastadenoma,emlődaganat
mastalgia,mellfájdalom
masticatio,rágás
mastiche,növényváladék
mastitis,emlőgyulladás
masto-,emlő-
mastocyta,hízósejt
mastocyti,hízosejtek
mastodynia,emlőfájdalom
mastoideus,Csecs-
mastoiditis,csecsnyúlvány gyulladás
mastoiditis,csecsnyúlványgyulladás
mastoido-,csecsnyúlvány-
mastoido-,masztoido-
mataplasia,szövetátalakulás
mater,"anya, burok"
matrix,anyaméh
matrix unguis,körömágy
maturatio,érés
maturus,érett
matutinus,reggeli
